dietary_pattern_name,calorie_level,food_group_name,food_subgroup_name,component_name,amount_value,amount_unit,frequency,notes
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"1 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,"5 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)","1 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Vegetables,Starchy Vegetables,Starchy Vegetables,5,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Vegetables,Other Vegetables,Other Vegetables,4,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Fruits,,Fruits,"2 ½",cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Grains,,Grains,6,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Grains,Whole Grains,Whole Grains,3,ounce eq,day,Footnote d (Table A3-2)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Grains,Refined Grains,Refined Grains,3,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Dairy,,Dairy,2,cup eq,day,Footnote d (Table A3-5)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,"Protein Foods",,"Protein Foods","6 ½",ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,"Protein Foods","Meats, Poultry, Eggs","Meats, Poultry, Eggs",26,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,"Protein Foods",Seafood,Seafood,15,ounce eq,wk,Footnote e
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",5,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,Oils,,,Oils,27,grams,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,,,,Limit on Calories for Other Uses,240,kcal,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2000,,,,Limit on Calories for Other Uses,12,%,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Vegetables,,Vegetables,3,cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,2,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,6,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)",2,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Vegetables,Starchy Vegetables,Starchy Vegetables,6,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Vegetables,Other Vegetables,Other Vegetables,5,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Fruits,,Fruits,"2 ½",cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Grains,,Grains,7,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Grains,Whole Grains,Whole Grains,"3 ½",ounce eq,day,Footnote d (Table A3-2)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Grains,Refined Grains,Refined Grains,"3 ½",ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Dairy,,Dairy,2,cup eq,day,Footnote d (Table A3-5)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,"Protein Foods",,"Protein Foods",7,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,"Protein Foods","Meats, Poultry, Eggs","Meats, Poultry, Eggs",28,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,"Protein Foods",Seafood,Seafood,16,ounce eq,wk,Footnote e
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",5,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,Oils,,,Oils,29,grams,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,,,,Limit on Calories for Other Uses,250,kcal,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2200,,,,Limit on Calories for Other Uses,11,%,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Vegetables,,Vegetables,3,cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,2,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,6,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)",2,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Vegetables,Starchy Vegetables,Starchy Vegetables,6,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Vegetables,Other Vegetables,Other Vegetables,5,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Fruits,,Fruits,"2 ½",cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Grains,,Grains,8,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Grains,Whole Grains,Whole Grains,4,ounce eq,day,Footnote d (Table A3-2)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Grains,Refined Grains,Refined Grains,4,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Dairy,,Dairy,"2 ½",cup eq,day,Footnote d (Table A3-5)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,"Protein Foods",,"Protein Foods","7 ½",ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,"Protein Foods","Meats, Poultry, Eggs","Meats, Poultry, Eggs",31,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,"Protein Foods",Seafood,Seafood,16,ounce eq,wk,Footnote e
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",5,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,Oils,,,Oils,31,grams,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,,,,Limit on Calories for Other Uses,280,kcal,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2400,,,,Limit on Calories for Other Uses,12,%,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Vegetables,,Vegetables,"3 ½",cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"2 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,7,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)","2 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Vegetables,Starchy Vegetables,Starchy Vegetables,7,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Vegetables,Other Vegetables,Other Vegetables,"5 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Fruits,,Fruits,"2 ½",cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Grains,,Grains,9,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Grains,Whole Grains,Whole Grains,"4 ½",ounce eq,day,Footnote d (Table A3-2)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Grains,Refined Grains,Refined Grains,"4 ½",ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Dairy,,Dairy,"2 ½",cup eq,day,Footnote d (Table A3-5)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,"Protein Foods",,"Protein Foods","7 ½",ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,"Protein Foods","Meats, Poultry, Eggs","Meats, Poultry, Eggs",31,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,"Protein Foods",Seafood,Seafood,17,ounce eq,wk,Footnote e
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",5,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,Oils,,,Oils,34,grams,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,,,,Limit on Calories for Other Uses,300,kcal,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2600,,,,Limit on Calories for Other Uses,12,%,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Vegetables,,Vegetables,"3 ½",cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"2 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,7,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)","2 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Vegetables,Starchy Vegetables,Starchy Vegetables,7,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Vegetables,Other Vegetables,Other Vegetables,"5 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Fruits,,Fruits,3,cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Grains,,Grains,10,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Grains,Whole Grains,Whole Grains,5,ounce eq,day,Footnote d (Table A3-2)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Grains,Refined Grains,Refined Grains,5,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Dairy,,Dairy,"2 ½",cup eq,day,Footnote d (Table A3-5)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,"Protein Foods",,"Protein Foods",8,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,"Protein Foods","Meats, Poultry, Eggs","Meats, Poultry, Eggs",33,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,"Protein Foods",Seafood,Seafood,17,ounce eq,wk,Footnote e
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",6,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,Oils,,,Oils,36,grams,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,,,,Limit on Calories for Other Uses,330,kcal,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,2800,,,,Limit on Calories for Other Uses,12,%,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Vegetables,,Vegetables,4,cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"2 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,"7 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)",3,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Vegetables,Starchy Vegetables,Starchy Vegetables,8,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Vegetables,Other Vegetables,Other Vegetables,7,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Fruits,,Fruits,3,cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Grains,,Grains,10,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Grains,Whole Grains,Whole Grains,5,ounce eq,day,Footnote d (Table A3-2)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Grains,Refined Grains,Refined Grains,5,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Dairy,,Dairy,"2 ½",cup eq,day,Footnote d (Table A3-5)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,"Protein Foods",,"Protein Foods",8,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,"Protein Foods","Meats, Poultry, Eggs","Meats, Poultry, Eggs",33,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,"Protein Foods",Seafood,Seafood,17,ounce eq,wk,Footnote e
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",6,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,Oils,,,Oils,44,grams,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,,,,Limit on Calories for Other Uses,400,kcal,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3000,,,,Limit on Calories for Other Uses,13,%,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Vegetables,,Vegetables,4,cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"2 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,"7 ½",cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)",3,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Vegetables,Starchy Vegetables,Starchy Vegetables,8,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Vegetables,Other Vegetables,Other Vegetables,7,cup eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Fruits,,Fruits,3,cup eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Grains,,Grains,10,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Grains,Whole Grains,Whole Grains,5,ounce eq,day,Footnote d (Table A3-2)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Grains,Refined Grains,Refined Grains,5,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Dairy,,Dairy,"2 ½",cup eq,day,Footnote d (Table A3-5)
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,"Protein Foods",,"Protein Foods",8,ounce eq,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,"Protein Foods","Meats, Poultry, Eggs","Meats, Poultry, Eggs",33,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,"Protein Foods",Seafood,Seafood,17,ounce eq,wk,Footnote e
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",6,ounce eq,wk,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,Oils,,,Oils,51,grams,day,
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,,,,Limit on Calories for Other Uses,540,kcal,day,Footnote f
Healthy Mediterranean-Style Dietary Pattern Ages 2+,3200,,,,Limit on Calories for Other Uses,17,%,day,Footnote f
