```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
VITK,"Infants 0-6 months",AI,2.0,,mcg,AI,"Average vitamin K intake from human milk",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Infants 7-12 months",AI,2.5,,mcg,AI,"Extrapolation from 0 through 6 mo AI",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Children 1-3 years",AI,30,,mcg,AI,"Median intake of vitamin K from NHANES III",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Children 4-8 years",AI,55,,mcg,AI,"Median intake of vitamin K from NHANES III",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Children 9-13 years",AI,60,,mcg,AI,"Median intake of vitamin K from NHANES III",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Males 14-18 years",AI,75,,mcg,AI,"Median intake of vitamin K from NHANES III",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Females 14-18 years",AI,75,,mcg,AI,"Median intake of vitamin K from NHANES III",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Males >18 years",AI,120,,mcg,AI,"Median intake of vitamin K from NHANES III",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Females >18 years",AI,90,,mcg,AI,"Median intake of vitamin K from NHANES III",,,IOM DRI VitA/K/Min 2001 S-2
VITK,"Pregnancy 14-18 years",AI,75,,mcg,AI,"Adolescent female median intake",,Same as non-pregnant,IOM DRI VitA/K/Min 2001 S-2
VITK,"Pregnancy 19-50 years",AI,90,,mcg,AI,"Adult female median intake",,Same as non-pregnant,IOM DRI VitA/K/Min 2001 S-2
VITK,"Lactation 14-18 years",AI,75,,mcg,AI,"Adolescent female median intake",,Same as non-lactating,IOM DRI VitA/K/Min 2001 S-2
VITK,"Lactation 19-50 years",AI,90,,mcg,AI,"Adult female median intake",,Same as non-lactating,IOM DRI VitA/K/Min 2001 S-2
CR,"Infants 0-6 months",AI,0.2,,mcg,AI,"Average chromium intake from human milk",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Infants 7-12 months",AI,5.5,,mcg,AI,"Average chromium intake from human milk and complementary foods",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Children 1-3 years",AI,11,,mcg,AI,"Extrapolation from adult AI",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Children 4-8 years",AI,15,,mcg,AI,"Extrapolation from adult AI",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Males 9-13 years",AI,25,,mcg,AI,"Extrapolation from adult AI",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Females 9-13 years",AI,21,,mcg,AI,"Extrapolation from adult AI",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Males 14-18 years",AI,35,,mcg,AI,"Extrapolation from adult AI",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Females 14-18 years",AI,24,,mcg,AI,"Extrapolation from adult AI",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Males 19-50 years",AI,35,,mcg,AI,"Average chromium intake based on food content and energy intake",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Females 19-50 years",AI,25,,mcg,AI,"Average chromium intake based on food content and energy intake",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Males >=51 years",AI,30,,mcg,AI,"Average chromium intake based on food content and energy intake",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Females >=51 years",AI,20,,mcg,AI,"Average chromium intake based on food content and energy intake",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Pregnancy 14-18 years",AI,29,,mcg,AI,"Extrapolation from adolescent AI based on body weight",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Pregnancy 19-50 years",AI,30,,mcg,AI,"Extrapolation from adult woman AI based on body weight",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Lactation 14-18 years",AI,44,,mcg,AI,"Adolescent female intake plus average amount of chromium secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-3
CR,"Lactation 19-50 years",AI,45,,mcg,AI,"Adult female intake plus average amount of chromium secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-3
/CU,"Infants 0-6 months",AI,200,,mcg,AI,"Average copper intake from human milk",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Infants 7-12 months",AI,220,,mcg,AI,"Average copper intake from human milk and complementary foods",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Children 1-3 years",EAR,260,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Children 1-3 years",RDA,340,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Children 4-8 years",EAR,340,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Children 4-8 years",RDA,440,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Children 9-13 years",EAR,540,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Children 9-13 years",RDA,700,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Males 14-18 years",EAR,685,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Males 14-18 years",RDA,890,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Females 14-18 years",EAR,685,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Females 14-18 years",RDA,890,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Adults 19-50 years",EAR,700,,mcg,EAR,"Plasma copper, serum ceruloplasmin, platelet copper, erythrocyte SOD activity",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Adults 19-50 years",RDA,900,,mcg,RDA,"Plasma copper, serum ceruloplasmin, platelet copper, erythrocyte SOD activity",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Adults >=51 years",EAR,700,,mcg,EAR,"Extrapolation from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Adults >=51 years",RDA,900,,mcg,RDA,"Extrapolation from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Pregnancy 14-18 years",EAR,785,,mcg,EAR,"Adolescent female EAR plus fetal accumulation of copper",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Pregnancy 14-18 years",RDA,1000,,mcg,RDA,"Adolescent female EAR plus fetal accumulation of copper",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Pregnancy 19-50 years",EAR,800,,mcg,EAR,"Adult female EAR plus fetal accumulation of copper",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Pregnancy 19-50 years",RDA,1000,,mcg,RDA,"Adult female EAR plus fetal accumulation of copper",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Lactation 14-18 years",EAR,985,,mcg,EAR,"Adolescent female EAR plus average amount of copper secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Lactation 14-18 years",RDA,1300,,mcg,RDA,"Adolescent female EAR plus average amount of copper secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Lactation 19-50 years",EAR,1000,,mcg,EAR,"Adult female EAR plus average amount of copper secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-4
CU,"Lactation 19-50 years",RDA,1300,,mcg,RDA,"Adult female EAR plus average amount of copper secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-4
ID,"Infants 0-6 months",AI,110,,mcg,AI,"Average iodine intake from human milk",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Infants 7-12 months",AI,130,,mcg,AI,"Extrapolation from 0 through 6 mo AI",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Children 1-3 years",EAR,65,,mcg,EAR,"Balance data on children",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Children 1-3 years",RDA,90,,mcg,RDA,"Balance data on children",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Children 4-8 years",EAR,65,,mcg,EAR,"Balance data on children",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Children 4-8 years",RDA,90,,mcg,RDA,"Balance data on children",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Children 9-13 years",EAR,73,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Children 9-13 years",RDA,120,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Adolescents 14-18 years",EAR,95,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Adolescents 14-18 years",RDA,150,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Adults 19-50 years",EAR,95,,mcg,EAR,"Iodine turnover",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Adults 19-50 years",RDA,150,,mcg,RDA,"Iodine turnover",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Adults >=51 years",EAR,95,,mcg,EAR,"Extrapolation of iodine turnover studies from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Adults >=51 years",RDA,150,,mcg,RDA,"Extrapolation of iodine turnover studies from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Pregnancy 14-18 years",EAR,160,,mcg,EAR,"Balance data during pregnancy",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Pregnancy 14-18 years",RDA,220,,mcg,RDA,"Balance data during pregnancy",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Pregnancy 19-50 years",EAR,160,,mcg,EAR,"Balance data during pregnancy",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Pregnancy 19-50 years",RDA,220,,mcg,RDA,"Balance data during pregnancy",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Lactation 14-18 years",EAR,209,,mcg,EAR,"Adolescent female average requirement plus average amount of iodine secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Lactation 14-18 years",RDA,290,,mcg,RDA,"Adolescent female average requirement plus average amount of iodine secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Lactation 19-50 years",EAR,209,,mcg,EAR,"Adult female average requirement plus average amount of iodine secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-5
ID,"Lactation 19-50 years",RDA,290,,mcg,RDA,"Adult female average requirement plus average amount of iodine secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-5
FE,"Infants 0-6 months",AI,0.27,,mg,AI,"Average iron intake from human milk",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Infants 7-12 months",EAR,6.9,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Infants 7-12 months",RDA,11,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Children 1-3 years",EAR,3.0,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Children 1-3 years",RDA,7,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Children 4-8 years",EAR,4.1,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Children 4-8 years",RDA,10,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 9-13 years",EAR,5.9,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 9-13 years",RDA,8,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 9-13 years",EAR,5.7,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 9-13 years",RDA,8,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 14-18 years",EAR,7.7,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 14-18 years",RDA,11,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 14-18 years",EAR,7.9,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 14-18 years",RDA,15,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 19-30 years",EAR,6,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 19-30 years",RDA,8,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 19-30 years",EAR,8.1,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 19-30 years",RDA,18,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 31-50 years",EAR,6,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 31-50 years",RDA,8,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 31-50 years",EAR,8.1,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 31-50 years",RDA,18,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 51-70 years",EAR,6,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males 51-70 years",RDA,8,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 51-70 years",EAR,5,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females 51-70 years",RDA,8,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males >70 years",EAR,6,,mg,EAR,"Extrapolation of factorial analysis from 51 through 70 y",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Males >70 years",RDA,8,,mg,RDA,"Extrapolation of factorial analysis from 51 through 70 y",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females >70 years",EAR,5,,mg,EAR,"Extrapolation of factorial analysis from 51 through 70 y",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Females >70 years",RDA,8,,mg,RDA,"Extrapolation of factorial analysis from 51 through 70 y",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Pregnancy 14-18 years",EAR,23,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Pregnancy 14-18 years",RDA,27,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Pregnancy 19-50 years",EAR,22,,mg,EAR,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Pregnancy 19-50 years",RDA,27,,mg,RDA,"Factorial modeling",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Lactation 14-18 years",EAR,7,,mg,EAR,"Adolescent female EAR minus menstrual losses plus average amount of iron secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Lactation 14-18 years",RDA,10,,mg,RDA,"Adolescent female EAR minus menstrual losses plus average amount of iron secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Lactation 19-50 years",EAR,6.5,,mg,EAR,"Adult female EAR minus menstrual losses plus average amount of iron secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-6
FE,"Lactation 19-50 years",RDA,9,,mg,RDA,"Adult female EAR minus menstrual losses plus average amount of iron secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-6
MN,"Infants 0-6 months",AI,0.003,,mg,AI,"Average manganese intake from human milk",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Infants 7-12 months",AI,0.6,,mg,AI,"Extrapolation from adult AI",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Children 1-3 years",AI,1.2,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Children 4-8 years",AI,1.5,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Males 9-13 years",AI,1.9,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Females 9-13 years",AI,1.6,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Males 14-18 years",AI,2.2,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Females 14-18 years",AI,1.6,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Males >=19 years",AI,2.3,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Females >=19 years",AI,1.8,,mg,AI,"Median manganese intake from FDA Total Diet Study",,,IOM DRI VitA/K/Min 2001 S-7
MN,"Pregnancy 14-18 years",AI,2.0,,mg,AI,"Extrapolation of adolescent female AI based on body weight",,Same as non-pregnant,IOM DRI VitA/K/Min 2001 S-7
MN,"Pregnancy 19-50 years",AI,2.0,,mg,AI,"Extrapolation of adult female AI based on body weight",,Same as non-pregnant,IOM DRI VitA/K/Min 2001 S-7
MN,"Lactation 14-18 years",AI,2.6,,mg,AI,"Median manganese intake from FDA Total Diet Study",,Same as non-lactating,IOM DRI VitA/K/Min 2001 S-7
MN,"Lactation 19-50 years",AI,2.6,,mg,AI,"Median manganese intake from FDA Total Diet Study",,Same as non-lactating,IOM DRI VitA/K/Min 2001 S-7
MO,"Infants 0-6 months",AI,2,,mcg,AI,"Average molybdenum intake from human milk",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Infants 7-12 months",AI,3,,mcg,AI,"Extrapolation from 0 through 6 mo",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Children 1-3 years",EAR,13,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Children 1-3 years",RDA,17,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Children 4-8 years",EAR,17,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Children 4-8 years",RDA,22,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Children 9-13 years",EAR,26,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Children 9-13 years",RDA,34,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Adolescents 14-18 years",EAR,33,,mcg,EAR,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Adolescents 14-18 years",RDA,43,,mcg,RDA,"Extrapolation from adult EAR",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Adults 19-30 years",EAR,34,,mcg,EAR,"Balance data",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Adults 19-30 years",RDA,45,,mcg,RDA,"Balance data",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Adults >=31 years",EAR,34,,mcg,EAR,"Extrapolation of balance data from 19 through 30 y",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Adults >=31 years",RDA,45,,mcg,RDA,"Extrapolation of balance data from 19 through 30 y",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Pregnancy 14-18 years",EAR,40,,mcg,EAR,"Extrapolation of adolescent female EAR based on body weight",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Pregnancy 14-18 years",RDA,50,,mcg,RDA,"Extrapolation of adolescent female EAR based on body weight",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Pregnancy 19-50 years",EAR,40,,mcg,EAR,"Extrapolation of adult female EAR based on body weight",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Pregnancy 19-50 years",RDA,50,,mcg,RDA,"Extrapolation of adult female EAR based on body weight",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Lactation 14-18 years",EAR,35,,mcg,EAR,"Adolescent female EAR plus average amount of molybdenum secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Lactation 14-18 years",RDA,50,,mcg,RDA,"Adolescent female EAR plus average amount of molybdenum secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Lactation 19-50 years",EAR,36,,mcg,EAR,"Adult female EAR plus average amount of molybdenum secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-8
MO,"Lactation 19-50 years",RDA,50,,mcg,RDA,"Adult female EAR plus average amount of molybdenum secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-8
ZN,"Infants 0-6 months",AI,2,,mg,AI,"Average zinc intake from human milk",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Infants 7-12 months",EAR,2.5,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Infants 7-12 months",RDA,3,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Children 1-3 years",EAR,2.5,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Children 1-3 years",RDA,3,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Children 4-8 years",EAR,4.0,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Children 4-8 years",RDA,5,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males 9-13 years",EAR,7.0,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males 9-13 years",RDA,8,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females 9-13 years",EAR,7.0,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females 9-13 years",RDA,8,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males 14-18 years",EAR,8.5,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males 14-18 years",RDA,11,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females 14-18 years",EAR,7.3,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females 14-18 years",RDA,9,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males 19-50 years",EAR,9.4,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males 19-50 years",RDA,11,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females 19-50 years",EAR,6.8,,mg,EAR,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females 19-50 years",RDA,8,,mg,RDA,"Factorial analysis",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males >=51 years",EAR,9.4,,mg,EAR,"Extrapolation of factorial data from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Males >=51 years",RDA,11,,mg,RDA,"Extrapolation of factorial data from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females >=51 years",EAR,6.8,,mg,EAR,"Extrapolation of factorial data from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Females >=51 years",RDA,8,,mg,RDA,"Extrapolation of factorial data from 19 through 50 y",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Pregnancy 14-18 years",EAR,10.0,,mg,EAR,"Adolescent female EAR plus fetal accumulation of zinc",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Pregnancy 14-18 years",RDA,12,,mg,RDA,"Adolescent female EAR plus fetal accumulation of zinc",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Pregnancy 19-50 years",EAR,9.5,,mg,EAR,"Adult female average requirement plus fetal accumulation of zinc",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Pregnancy 19-50 years",RDA,11,,mg,RDA,"Adult female average requirement plus fetal accumulation of zinc",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Lactation 14-18 years",EAR,10.9,,mg,EAR,"Adolescent female EAR plus average amount of zinc secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Lactation 14-18 years",RDA,13,,mg,RDA,"Adolescent female EAR plus average amount of zinc secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Lactation 19-50 years",EAR,10.4,,mg,EAR,"Adult female EAR plus average amount of zinc secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-9
ZN,"Lactation 19-50 years",RDA,12,,mg,RDA,"Adult female EAR plus average amount of zinc secreted in human milk",,,IOM DRI VitA/K/Min 2001 S-9
VITA_RAE,"Infants 0-6 months",UL,600,,mcg,UL,,b,"Preformed Vitamin A; ND for Boron, Copper, Iodine, Manganese, Molybdenum, Nickel, Vanadium",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Infants 7-12 months",UL,600,,mcg,UL,,b,"Preformed Vitamin A; ND for Boron, Copper, Iodine, Manganese, Molybdenum, Nickel, Vanadium",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Children 1-3 years",UL,600,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
BORON,"Children 1-3 years",UL,3,,mg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
CU,"Children 1-3 years",UL,1000,,mcg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
ID,"Children 1-3 years",UL,200,,mcg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
FE,"Infants 0-12 months",UL,40,,mg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
FE,"Children 1-3 years",UL,40,,mg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
MN,"Children 1-3 years",UL,2,,mg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
MO,"Children 1-3 years",UL,300,,mcg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
NICKEL,"Children 1-3 years",UL,200,,mcg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
ZN,"Infants 0-6 months",UL,4,,mg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
ZN,"Infants 7-12 months",UL,5,,mg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
ZN,"Children 1-3 years",UL,7,,mg,UL,,,,IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Children 4-8 years",UL,900,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Children 9-13 years",UL,1700,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Adolescents 14-18 years",UL,2800,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Adults >=19 years",UL,3000,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Pregnancy 14-18 years",UL,2800,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Pregnancy 19-50 years",UL,3000,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Lactation 14-18 years",UL,2800,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
VITA_RAE,"Lactation 19-50 years",UL,3000,,mcg,UL,,,"Preformed Vitamin A",IOM DRI VitA/K/Min 2001 S-10
